"Name","InvoiceId","InvoiceDate","Total","PreTotal","ComparingToLast"
Phil Hughes,238,"2023-11-21 00:00:00",1.98,8.91,-6.93
Phil Hughes,261,"2024-02-23 00:00:00",3.96,1.98,1.98
Phil Hughes,283,"2024-05-27 00:00:00",5.94,3.96,1.9800000000000004
Phil Hughes,335,"2025-01-15 00:00:00",0.99,5.94,-4.95
Steve Murray,20,"2021-03-22 00:00:00",0.99,,
Steve Murray,141,"2022-09-13 00:00:00",1.98,0.99,0.99
Steve Murray,152,"2022-10-24 00:00:00",13.86,1.98,11.879999999999999
Steve Murray,207,"2023-06-24 00:00:00",8.91,13.86,-4.949999999999999
Steve Murray,336,"2025-01-28 00:00:00",1.98,8.91,-6.93
Steve Murray,359,"2025-05-02 00:00:00",3.96,1.98,1.98
Steve Murray,381,"2025-08-04 00:00:00",5.94,3.96,1.9800000000000004
Mark Taylor,21,"2021-04-04 00:00:00",1.98,,
Mark Taylor,44,"2021-07-07 00:00:00",3.96,1.98,1.98
Mark Taylor,66,"2021-10-09 00:00:00",5.94,3.96,1.9800000000000004
Mark Taylor,118,"2022-05-30 00:00:00",0.99,5.94,-4.95
Mark Taylor,239,"2023-11-21 00:00:00",1.98,0.99,0.99
Mark Taylor,250,"2024-01-01 00:00:00",13.86,1.98,11.879999999999999
Mark Taylor,305,"2024-08-31 00:00:00",8.91,13.86,-4.949999999999999
Diego Gutiérrez,119,"2022-06-12 00:00:00",1.98,,
Diego Gutiérrez,142,"2022-09-14 00:00:00",3.96,1.98,1.98
Diego Gutiérrez,164,"2022-12-17 00:00:00",5.94,3.96,1.9800000000000004
Diego Gutiérrez,216,"2023-08-07 00:00:00",0.99,5.94,-4.95
Diego Gutiérrez,337,"2025-01-28 00:00:00",1.98,0.99,0.99
Diego Gutiérrez,348,"2025-03-10 00:00:00",13.86,1.98,11.879999999999999
Diego Gutiérrez,403,"2025-11-08 00:00:00",8.91,13.86,-4.949999999999999
Luis Rojas,22,"2021-04-04 00:00:00",1.98,,
Luis Rojas,33,"2021-05-15 00:00:00",13.86,1.98,11.879999999999999
Luis Rojas,88,"2022-01-13 00:00:00",17.91,13.86,4.050000000000001
Luis Rojas,217,"2023-08-20 00:00:00",1.98,17.91,-15.93
Luis Rojas,240,"2023-11-22 00:00:00",3.96,1.98,1.98
Luis Rojas,262,"2024-02-24 00:00:00",5.94,3.96,1.9800000000000004
Luis Rojas,314,"2024-10-14 00:00:00",0.99,5.94,-4.95
Manoj Pareek,120,"2022-06-12 00:00:00",1.98,,
Manoj Pareek,131,"2022-07-23 00:00:00",13.86,1.98,11.879999999999999
Manoj Pareek,186,"2023-03-23 00:00:00",8.91,13.86,-4.949999999999999
Manoj Pareek,315,"2024-10-27 00:00:00",1.98,8.91,-6.93
Manoj Pareek,338,"2025-01-29 00:00:00",3.96,1.98,1.98
Manoj Pareek,360,"2025-05-03 00:00:00",5.94,3.96,1.9800000000000004
Manoj Pareek,412,"2025-12-22 00:00:00",1.99,5.94,-3.95
Puja Srivastava,23,"2021-04-05 00:00:00",3.96,,
Puja Srivastava,45,"2021-07-08 00:00:00",5.94,3.96,1.9800000000000004
Puja Srivastava,97,"2022-02-26 00:00:00",1.99,5.94,-3.95
Puja Srivastava,218,"2023-08-20 00:00:00",1.98,1.99,-0.010000000000000009
Puja Srivastava,229,"2023-09-30 00:00:00",13.86,1.98,11.879999999999999
Puja Srivastava,284,"2024-05-30 00:00:00",8.91,13.86,-4.949999999999999
